@relation 'deneme-weka.filters.unsupervised.attribute.Remove-V-R16,2,15,3,17,9,12,22-23,14,19-20,7,11,5,25,24,8,1,13,21,6,4,18,26'

@attribute no-of-cylinder {eight,five,four,six,three,twelve,two}
@attribute normalized-loses numeric
@attribute engine-type {dohc,dohcv,l,ohc,ohcf,ohcv,rotor}
@attribute brand {alfa-romero,audi,bmw,chevrolet,dodge,mercedes-benz,mazda,honda,isuzu,jaguar,mitsubishi,mercury,nissan,peugot,plymouth,porsche,renault,saab,subaru,toyota,volkswagen,volvo}
@attribute engine-size numeric
@attribute engine-location {front,rear}
@attribute width numeric
@attribute hp numeric
@attribute peak-rpm numeric
@attribute curb-weight numeric
@attribute bore numeric
@attribute stroke numeric
@attribute body-style {hardtop,wagon,sedan,hatchback,convertible}
@attribute length numeric
@attribute aspiration {std,turbo}
@attribute highway-mpg numeric
@attribute city-mpg numeric
@attribute engine-to-whell {4wd,fwd,rwd}
@attribute symbol numeric
@attribute height numeric
@attribute compress-ratio numeric
@attribute no-of-doors {four,two}
@attribute fuel {diesel,gas}
@attribute fuel-system {1bbl,2bbl,4bbl,idi,mfi,mpfi,spdi,spfi}
@attribute price numeric

@data
four,168,dohc,toyota,98,front,64,112,6600,2300,3.24,3.08,hatchback,168.7,std,29,26,rwd,1,52.6,9.4,two,gas,mpfi,9538
four,134,ohc,toyota,146,front,65.6,116,4800,2540,3.62,3.5,hardtop,176.2,std,30,24,rwd,2,52,9.3,two,gas,mpfi,8449
four,134,ohc,toyota,146,front,65.6,116,4800,2536,3.62,3.5,hardtop,176.2,std,30,24,rwd,2,52,9.3,two,gas,mpfi,9639
four,134,ohc,toyota,146,front,65.6,116,4800,2551,3.62,3.5,hatchback,176.2,std,30,24,rwd,2,52,9.3,two,gas,mpfi,9989
four,134,ohc,toyota,146,front,65.6,116,4800,2679,3.62,3.5,hardtop,176.2,std,30,24,rwd,2,52,9.3,two,gas,mpfi,11199
four,134,ohc,toyota,146,front,65.6,116,4800,2714,3.62,3.5,hatchback,176.2,std,30,24,rwd,2,52,9.3,two,gas,mpfi,11549
four,134,ohc,toyota,146,front,65.6,116,4800,2975,3.62,3.5,convertible,176.2,std,30,24,rwd,2,53,9.3,two,gas,mpfi,17669
four,65,ohc,toyota,122,front,66.5,92,4200,2326,3.31,3.54,sedan,175.6,std,34,29,fwd,-1,54.9,8.7,four,gas,mpfi,8948
four,65,ohc,toyota,110,front,66.5,73,4500,2480,3.27,3.35,sedan,175.6,turbo,33,30,fwd,-1,54.9,22.5,four,diesel,idi,10698
four,65,ohc,toyota,122,front,66.5,92,4200,2414,3.31,3.54,hatchback,175.6,std,32,27,fwd,-1,53.9,8.7,four,gas,mpfi,9988
four,65,ohc,toyota,122,front,66.5,92,4200,2414,3.31,3.54,sedan,175.6,std,32,27,fwd,-1,54.9,8.7,four,gas,mpfi,10898
four,65,ohc,toyota,122,front,66.5,92,4200,2458,3.31,3.54,hatchback,175.6,std,32,27,fwd,-1,53.9,8.7,four,gas,mpfi,11248
six,197,dohc,toyota,171,front,67.7,161,5200,2976,3.27,3.35,hatchback,183.5,std,24,20,rwd,3,52,9.3,two,gas,mpfi,16558
six,197,dohc,toyota,171,front,67.7,161,5200,3016,3.27,3.35,hatchback,183.5,std,24,19,rwd,3,52,9.3,two,gas,mpfi,15998
six,90,dohc,toyota,171,front,66.5,156,5200,3131,3.27,3.35,sedan,187.8,std,24,20,rwd,-1,54.1,9.2,four,gas,mpfi,15690
six,?,dohc,toyota,161,front,66.5,156,5200,3151,3.27,3.35,wagon,187.8,std,24,19,rwd,-1,54.1,9.2,four,gas,mpfi,15750
four,122,ohc,volkswagen,97,front,65.5,52,4800,2261,3.01,3.4,sedan,171.7,std,46,37,fwd,2,55.7,23,two,diesel,idi,7775
four,122,ohc,volkswagen,109,front,65.5,85,5250,2209,3.19,3.4,sedan,171.7,std,34,27,fwd,2,55.7,9,two,gas,mpfi,7975
four,94,ohc,volkswagen,97,front,65.5,52,4800,2264,3.01,3.4,sedan,171.7,std,46,37,fwd,2,55.7,23,four,diesel,idi,7995
four,94,ohc,volkswagen,109,front,65.5,85,5250,2212,3.19,3.4,sedan,171.7,std,34,27,fwd,2,55.7,9,four,gas,mpfi,8195
four,94,ohc,volkswagen,109,front,65.5,85,5250,2275,3.19,3.4,sedan,171.7,std,34,27,fwd,2,55.7,9,four,gas,mpfi,8495
four,94,ohc,volkswagen,97,front,65.5,68,4500,2319,3.01,3.4,sedan,171.7,turbo,42,37,fwd,2,55.7,23,four,diesel,idi,9495
four,94,ohc,volkswagen,109,front,65.5,100,5500,2300,3.19,3.4,sedan,171.7,std,32,26,fwd,2,55.7,10,four,gas,mpfi,9995
four,?,ohc,volkswagen,109,front,64.2,90,5500,2254,3.19,3.4,convertible,159.3,std,29,24,fwd,3,55.6,8.5,two,gas,mpfi,11595
four,256,ohc,volkswagen,109,front,64,90,5500,2221,3.19,3.4,hatchback,165.7,std,29,24,fwd,3,51.4,8.5,two,gas,mpfi,9980
five,?,ohc,volkswagen,136,front,66.9,110,5500,2661,3.19,3.4,sedan,180.2,std,24,19,fwd,0,55.1,8.5,four,gas,mpfi,13295
four,?,ohc,volkswagen,97,front,66.9,68,4500,2579,3.01,3.4,sedan,180.2,turbo,38,33,fwd,0,55.1,23,four,diesel,idi,13845
four,?,ohc,volkswagen,109,front,66.9,88,5500,2563,3.19,3.4,wagon,183.1,std,31,25,fwd,0,55.1,9,four,gas,mpfi,12290
four,103,ohc,volvo,141,front,67.2,114,5400,2912,3.78,3.15,sedan,188.8,std,28,23,rwd,-2,56.2,9.5,four,gas,mpfi,12940
four,74,ohc,volvo,141,front,67.2,114,5400,3034,3.78,3.15,wagon,188.8,std,28,23,rwd,-1,57.5,9.5,four,gas,mpfi,13415
four,103,ohc,volvo,141,front,67.2,114,5400,2935,3.78,3.15,sedan,188.8,std,28,24,rwd,-2,56.2,9.5,four,gas,mpfi,15985
four,74,ohc,volvo,141,front,67.2,114,5400,3042,3.78,3.15,wagon,188.8,std,28,24,rwd,-1,57.5,9.5,four,gas,mpfi,16515
four,103,ohc,volvo,130,front,67.2,162,5100,3045,3.62,3.15,sedan,188.8,turbo,22,17,rwd,-2,56.2,7.5,four,gas,mpfi,18420
four,74,ohc,volvo,130,front,67.2,162,5100,3157,3.62,3.15,wagon,188.8,turbo,22,17,rwd,-1,57.5,7.5,four,gas,mpfi,18950
four,95,ohc,volvo,141,front,68.9,114,5400,2952,3.78,3.15,sedan,188.8,std,28,23,rwd,-1,55.5,9.5,four,gas,mpfi,16845
four,95,ohc,volvo,141,front,68.8,160,5300,3049,3.78,3.15,sedan,188.8,turbo,25,19,rwd,-1,55.5,8.7,four,gas,mpfi,19045
six,95,ohcv,volvo,173,front,68.9,134,5500,3012,3.58,2.87,sedan,188.8,std,23,18,rwd,-1,55.5,8.8,four,gas,mpfi,21485
six,95,ohc,volvo,145,front,68.9,106,4800,3217,3.01,3.4,sedan,188.8,turbo,27,26,rwd,-1,55.5,23,four,diesel,idi,22470
four,95,ohc,volvo,141,front,68.9,114,5400,3062,3.78,3.15,sedan,188.8,turbo,25,19,rwd,-1,55.5,9.5,four,gas,mpfi,22625
